Companies,pca_clusters,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63,pc64,pc65,pc66,pc67,pc68,pc69,pc70,pc71,pc72,pc73,pc74,pc75,pc76,pc77,pc78,pc79
3M Company,2,0.028394567706303046,0.154125199746078,-0.14574570391069658,-0.37273658177176633,-0.04246060944487196,-0.05147159961913323,-0.049466277519290926,0.048047883471333604,-0.11382549395247772,-0.01771154594522785,-0.08486371596069651,0.10602179467306232,-0.041397273593883704,0.05782137699345624,0.03713626955978852,-0.0907750612531192,0.013156649166082099,-0.03743359503326253,-0.03155739359412089,0.034970265798386205,0.08992564905694866,0.02760516724699097,-0.05205199293088693,-0.004114005044680254,-0.04202396324052498,0.047492003860893736,-0.09009276698572712,-0.004259840651283049,0.025701686108892664,0.03706386529837189,-0.04725674323386497,-0.03572771360478013,-0.04091829301636163,-0.01740565386662024,0.03036908407607215,0.01957500207868906,-0.032163663841885924,0.0019463759889687456,0.04022985366871034,0.07632436191176319,-0.09252774123721427,-0.035493327143740865,0.08573049120805602,-0.030623075470899312,-0.05266093573985485,-0.04427575820998796,0.09240195394691314,-0.017846765818233655,-0.04512702604019537,0.04607081673676666,-0.05104950830454026,0.07050018102395594,-0.04570872575679301,0.003203134181039831,-0.009016794766221903,-0.021468561075482395,0.05984483863020407,-0.10856705967724091,0.02891659615087002,0.035448928412400396,0.022011220089238247,-0.07738612138220748,-0.09265158725903117,-0.026449522809378543,0.021273467519657877,0.04088845457278315,0.056190669251241325,0.005819049228581329,0.06479256467432835,-0.01523445732667715,0.004447180048000008,-0.00585228531677473,0.020261425775996354,-0.023712080103794997,0.051401287458556176,-0.06569638398927158,-0.08821848466083101,0.03269084057855166,0.009197459804902825,0.0019126596716958336
Activision Blizzard,3,0.5304254955225589,-0.2707255705073093,-0.0983565653583076,0.4538723223346136,-0.07355764520109588,-0.11825910011694256,0.053303739174427746,-0.0008218933457300322,-0.08462766554230766,-0.11221568318022822,-0.029528263163708334,0.055670129540363565,0.0241252742320457,-0.05927806610982541,-0.19973526347725098,0.041049752296779415,-0.07605512116017073,0.05923671930896865,-0.04174844149902607,-0.06458898648603632,-0.03789899216805591,-0.004901469482269476,-0.029416829525921475,-0.07367229363464078,-0.02416565585445829,0.01994597731277802,-0.0640743265929805,0.0028734989085142403,-0.07913369018196623,0.04761886277121875,-0.053639894606152184,0.03207569438728562,0.02082028299032958,-0.11367480082834819,-0.005754142576145865,0.08517526784556873,-0.0484950015294652,0.02675974445800874,0.000710506512143063,0.0008200254974445199,-0.07862811850632521,0.03355334976887027,0.039948002727788055,0.00849385165057108,-0.08841192926619355,0.0300149129696346,-0.03836645692067271,0.10166305150663074,-0.06294835171005674,0.052089852800384855,-0.11445838536223293,-0.021018753153895384,0.02017791529081658,-0.09412907412689606,-0.030589975964049863,-0.05913033624530247,-0.003189755029283616,-0.060053827420509846,-0.07116538871961847,-0.06028979348596928,0.07892382748102712,-0.00012348576999582337,0.0003065737051536546,-0.052890981938633536,0.06072523749704061,0.03324175076480793,-0.05105606549727171,0.04306634372444675,0.03800101251459222,0.013876522436399847,0.05673368206715674,-0.03446382708273751,0.034593737219176426,-0.010653728636383341,0.00439852646619662,0.10687495324743596,-0.03979732935879886,-0.07004862838390741,-0.04728466226921439,-0.046812534741560254
Accenture plc,3,0.15219659368757246,-0.12050215064308588,-0.046029059595490175,0.05294755048099356,-0.21281444203149646,0.21160987074358006,0.05596660270716239,-0.059799507967101026,0.07666968856866543,-0.04192973178088066,-0.16051341574694658,-0.06896374281333355,-0.1006603715566184,-0.10816910638659522,0.03719489210826192,0.020785068823498103,-0.03619843404890551,-0.001472015451433887,-0.20650478426864308,-0.12106325819932844,0.08435785471346817,0.05322373680093964,0.0638195027812665,0.14531433142718955,0.0845295789766439,0.037233494731670216,0.00825903431230749,0.01944816622541893,0.02418468446730573,-0.06759525850095709,-0.022513210632525028,-0.038144792593072865,0.04533598577949171,0.04777197385184291,0.00712468269935858,0.01248520074695405,-0.005721486444552696,-0.053764390067501666,0.03332286225911325,0.06738853875793333,0.040043088912776637,0.057545091050204,0.02826348470755419,-0.05384618414388482,-0.017560069446788642,0.05908365605909087,0.00499812221084545,-0.03231142782106572,0.010971736268422676,-0.01911089203536553,0.02281904943592898,-0.05993565793288617,-0.08340687121638268,0.04542620510920598,0.03262493596483672,0.012152432938645494,-0.007366388035501702,-0.03333294550580879,0.050460767181671806,-0.058045595018080834,-0.04353652456300707,-0.05367288514217027,-0.01073282687664131,0.0024553292963731205,-0.023282552831115504,0.01922590089799561,-0.03292011470844471,0.04156785994319937,0.006197980811094555,-0.03587367515310612,-0.05193317798469682,0.039139838543147315,-0.005785596487800551,-0.004771163973662742,0.03045307587565926,0.0271169269895303,0.0670148527284744,0.040390207753652214,-0.0631026291239084,0.040636016328515684
Abbott Laboratories,0,0.471771877778281,0.09277193835896687,-0.1642474137070953,0.01816705558294105,-0.03338563415060007,0.16838448194424555,-0.17673435245330912,0.11060735311993779,0.04372104369201215,-0.028640698954273104,0.20113437412323462,0.09112553871561775,0.028254573970618167,0.0073817120375957584,-0.040378668584764375,-0.01582460250512394,0.06815506272042632,0.036942750158195106,-0.04493888790842571,-0.05953044367447926,0.07982554008416777,-0.0140006885560587,0.009697346336939729,-0.07717899455554107,0.04709894078338117,0.024463188718904294,0.039930620765232946,0.07410506762157343,-0.16875490961268458,0.04236854538531575,-0.12969705563523104,-0.03777088722149078,-0.05066097017429365,0.103737521924862,0.03862412474966674,0.02659105806248687,-0.08652392910799662,-0.07225358878274628,0.035179975746457065,-0.024523240075339615,0.023162651948033505,0.0063504993335955166,-0.06476571237891927,-0.01381620981693347,0.014144304007142557,-0.025929725063818278,-0.1084248176113674,0.02765779372112594,-0.014512778723621372,0.09532394018363465,-0.05957036773035487,-0.06638551190418109,-0.0024228598738948374,-0.06305788520789053,-0.0010980016485483892,0.06493097424471747,0.08694949506250677,-0.0921967135345895,-0.040389691185669846,-0.052875915774808754,0.037084617462507616,0.06523560845198706,-0.053778512033728534,0.011040848902555297,-0.004035321313750466,0.013097271350429868,0.017705650056622085,0.021211804880964615,-0.02574851114812373,-0.03129211637991623,0.029549385189074982,-0.060267787000460336,0.011177215534297125,0.014884535111460935,-0.07429119800282866,-0.02995376243579819,0.04608275358479606,0.11788061297324241,-0.02319428006785288,0.04635718761991612
ABIOMED Inc,3,0.3167841476638414,-0.18758295821585147,-0.12621417305698512,0.09551176339388738,0.00732012825673684,0.06551153691711381,-0.25903591027031897,0.1868787084858627,-0.0015299892205903286,-0.08127451595035584,0.0264584612186039,-0.047509783377506054,0.08935340242834208,-0.1422315429006338,0.05159534863781949,-0.1508761742575681,0.11568655349291548,0.009664505053394487,-0.07301900975711066,0.06215189334264435,-0.1758798896743929,0.10414466713396192,-0.09112121610018938,-0.07380087436134838,-0.002741181750129697,0.07661096680596097,0.019057978217741505,-0.06936049697917296,0.008502671929356762,-0.22994575924921556,-0.033235522479435474,-0.06690218004727347,-0.11632317961332476,0.0017985589356645914,-0.001003849804679106,-0.11459737916158001,-0.14393895612646163,-0.04012204095573224,0.08389342509807507,-0.20795952780389598,-0.04757032315955961,0.0989386585695667,-0.03959799854952883,-0.057808505051375476,-0.09926686207568489,-0.09614431434815118,-0.04193122016599319,-0.08599851377606053,0.024827047377284302,-0.013315196936817854,-0.036716277158526385,0.04924184003437986,-0.0033551180205282573,0.02985902358422968,0.1746525644876979,-0.03518664572771797,0.04209750920373785,-0.04841141617171146,0.0027645832190073202,0.161854609120233,0.016598063725591975,0.01446920313004659,0.12964712636224354,-0.04232736253017876,-0.022845125666008964,0.09456257635921207,0.045177089832347146,-0.05411673036856852,-0.0021419401664681307,0.052393556678443885,-0.12604903473563775,0.010926514176532072,0.0037185954993744323,-0.09731387464969875,-0.027445231709658086,0.008300072677452693,0.10788933722348451,0.015035744643343018,-0.017135348727425868,0.039578750704254664
AbbVie Inc.,2,0.16367907909355836,-0.08360788147918481,0.07754801073770395,0.10590389836061824,-0.025334512921575417,0.1238836949306867,0.10070187401067907,0.22685629514107677,-0.2957279835492236,-0.10499934912359106,0.21083321836943356,0.1907929341558547,-0.11041476600599257,0.004326363095554693,-0.11154875836562449,-0.049186297429106,-0.020141804317066442,0.014090764617204833,-0.09473201900273792,0.087348328997058,0.024781233336635396,-0.022084046633521637,0.02186208918170566,0.07048792021350568,0.08746252166957914,-0.11631980023779437,-0.0023209566434175956,-0.0464933051043732,-0.015766152987270177,0.10909860492482643,-0.06678618016405866,-0.16626348239075667,0.006124819250055444,-0.07307567891667065,-0.1883961435614202,0.03750995201059062,0.05346668828051626,0.014581352607756623,-0.055344640121813934,-0.0484002601736686,-0.04681008205780685,0.021238298129145128,0.02901247283582925,0.05421007133612092,0.06398530970854861,0.023426278723742176,0.05292393361616692,0.021685952354343504,-0.13126319474746845,0.11311872040812118,-0.024414758021702225,0.016418121323614778,-0.011829120392903042,0.04228013832761764,-0.09270401389133948,0.05793767697846243,0.00024149164353862388,0.07901245329777243,0.05458407590601198,-0.0104604127068277,0.06649517693888073,-0.061120736597784255,-0.07434648285863113,-0.050157505455123486,-0.04760778173430182,0.06952228015185176,0.05811583889409974,-0.04719027214380704,-0.009136027999861409,0.0035954325693514956,-0.024030346190995616,-0.005653096680128912,-0.015822815804366484,0.026082472303730585,0.047388967956748344,-0.030378509872188993,0.032106463073491326,-0.08354577033059503,-0.020365879917583346,-0.08496740198458308
Adobe Inc.,3,0.46030973010196047,-0.4905792216922345,-0.05210747166526715,0.18085109947776298,-0.17776993778077554,-0.005386455253281443,0.0898015713158991,-0.16422275171107073,0.05608886413161444,-0.08626551776678397,-0.06174068020052435,-0.09365529671224995,0.015336684581260047,-0.17887952003909244,-0.07884285731850049,0.005716307574238704,-0.09668716553561853,-0.011366806801758564,0.052817596350660016,-0.11944167601283422,-0.07933551385022955,0.009301020685217178,-0.04121290401165082,0.040074144226412665,-0.008121186419475818,-0.008746455520664654,-0.09002895502348318,0.039386128184563315,0.0016590930825429613,0.026786388732295816,0.023517621740674313,-0.06759881702819551,0.04422659280929954,-0.02381735208302845,-0.05030896980968931,0.00574278111383453,-0.006663210912489727,0.06046971303384514,-0.003257074059574094,0.031213472622368267,-0.008483008438471547,0.01562791501790068,-0.0021375606126370883,0.03831814189537789,0.042560422062908276,0.05301427211525636,0.03195780789525896,0.05337510716623118,0.003076601036478843,0.04410077700436903,0.03935343246893768,0.03963439461329255,0.0041552017510646695,-0.02005964468078397,0.09153176682694202,0.0028407123526893916,0.04218336324512521,-0.029487320778005994,0.024987872543183683,-0.02503690767068686,-0.01664534672753707,-0.07428659153871664,0.05892229566215506,0.026494753048944164,0.017937517518306037,0.017398986452199224,-0.011171893247404608,-0.05064441515591335,0.046790133634598476,0.022397277999086196,-0.029043426433332076,0.0582449960670106,0.0026441081696347356,-0.03681554229328809,-0.026773327843023595,-0.0008146029812084009,0.012612883203865827,-0.00772436546390955,0.0040409087062480645,-0.005304854449339263
Advance Auto Parts,2,0.027503490312688984,-0.047836155534504356,0.1329769338179304,-0.027494657245011184,0.03900224079586208,-0.32174980983019597,0.15276993342346498,0.10738909192098199,0.034590959046298754,-0.04124700294873883,0.07545965311478232,0.21721437655638803,-0.12161749658778073,0.06818913565372194,0.0714215157210582,0.037314281295332465,0.09468133328478737,0.18287000801314662,-0.1269597054360646,-0.02371461687800118,-0.10069561707460598,-0.031517082398341056,-0.0528705624926191,-0.08593250213159477,-0.0779149972888365,-0.1009319793033622,-0.008961948508850438,0.020929597788984917,0.04792767071388427,-0.13438243919973525,0.021562436542067326,-0.055955760277635574,0.04150336381727627,0.018633147232390505,-0.08028664645169216,0.11194047174079148,0.05610371434514035,-0.07222019835576346,0.03225881139967791,0.039459798964557646,-0.023464982657301934,0.032467396834200274,-0.16010577253078168,-0.14214601620114536,0.001243405674049921,-0.035548196159975204,0.10725768645830328,-0.046181931455321734,0.028809324388214527,-0.014112058610677712,0.05497250657877621,-0.057277910663544464,0.04562549201093566,-0.017139680774793147,-0.02739391700684846,-0.026306674583669126,0.08081446776576456,0.03269915393652084,-0.05386002601079146,0.0014297358224519417,0.07182869725602445,0.03863779212878289,0.03386833420542767,0.020619929469159293,0.024382089794948617,-0.03210740784765075,-0.0010962551864059044,0.012949786643901891,-0.020094337078321367,-0.0001575122562458085,-0.0351465934829972,-0.014339038307960872,0.06047133009758763,-0.06908338595936578,0.015187828029497853,-0.06394244069788835,-0.04925992739102942,-0.03144149717689128,-0.019939128758715098,-0.038825480965521145
Advanced Micro Devices Inc,3,0.35244950787441265,-0.4435234194250723,-0.04852301770890598,0.22359660829841754,-0.07739695778894694,-0.07810265132999171,0.016931760055635545,-0.09339037417515436,0.1150399769377891,0.09279823310975549,-0.029155366336809308,0.037103561764664846,0.10026914171599849,0.06534581488006182,0.012711886711930655,0.024569345775719044,-0.016757313227875256,0.07391478153719637,-0.05252220590047923,0.0935510473464815,0.012188499247816386,-0.07963011363582202,-0.10264812543127,-0.06135913716390075,-0.12346891276264174,-0.05141535216129593,0.016568824780649034,0.04320847462405457,-0.02147257553896877,0.0830813136253379,0.09138306775303319,0.05536309535965989,-0.011150015766290485,0.016165532844555568,-0.0690543455073238,-0.07183353480657856,0.1137500703441439,-0.00836745217054563,-0.15686814606961252,0.0690999917115127,0.09850135780393288,0.13585675968659072,0.028385123658773187,0.017134773406659445,-0.11280648793809894,0.08319008909760864,-0.09547158077321145,0.022573710780629565,-0.05188212587578607,0.0049995729942416845,-0.08679350913690108,0.08455553008881453,0.12279264071719022,-0.08813134090587148,-0.1401743072305362,0.06490127360422891,-0.051921480799182206,-0.016056377161969317,-0.033496830955535156,0.08732735648282207,0.083880803882081,0.08600256201479833,0.08573268666571186,-0.01185384304603657,-0.05984481946025164,0.02649050027304426,0.07894414869313954,-0.04122833660147895,-0.0022001506041630214,-0.06673403442439152,-0.01113035933337498,-9.070504094771829e-05,-0.0639688504068071,-0.04762891585438687,-0.09696703409849522,-0.023359321806750967,-0.030027493097760646,0.0015320835337041413,0.07416559735170247,0.015475472573332217
AES Corp,1,-0.26248720449696294,-0.07178581650935384,0.20662723376015746,-3.485837949349241e-05,0.19467376048165833,0.08987680345234568,0.12266023990898826,-0.1067206792670481,-0.0030199594567775446,0.03687184664408232,-0.1010231913674443,-0.23936251745468107,-0.16670424608123446,0.0983194426974821,0.015668725950505807,0.03455246842137278,-0.03560614913373202,-0.14661078319829882,-0.016092868116259294,-0.05643131444338728,-0.028911710544092643,-0.0315049331374767,-0.10688452918233068,0.014150545616410963,-0.040462099166911,0.04386628226835831,0.056549820773481425,0.08385024340891087,0.011420091011500077,0.019929201701885293,0.07678859379502757,-0.14361211254923104,0.007035423161430339,-0.11243839983859387,0.01991105287158638,-0.04819667359058869,0.014880590121654463,-0.07815787442505706,0.03412108670699687,-0.03116772105101912,-0.10944469243771883,-0.024682998203801872,0.03568706430282767,0.057976522442264755,0.015902719434790102,-0.02294164726922544,-0.05697607938163845,0.028776522195805336,0.033737891647558874,-0.10662941722693804,0.021001856938999884,0.019021506891968024,-0.03277878728460959,-0.06229440859396432,0.026524026613618957,0.08213831444166533,-0.07601586614358906,0.05175520261488167,0.003822795805265517,-0.010840183949369489,0.014332926236604572,-0.0541624308490298,0.07952596457285031,-0.004040706346446659,0.0546733880469272,-0.0372750184546714,0.05332911666233864,0.012924660635060772,-0.04289911551828388,0.11056805314485639,-0.09882814388681993,0.06658897152915097,-0.10453955214326306,0.05597491499404778,0.009584365764027249,0.05124130107244632,0.06290502742869826,0.010852166604638207,-0.033370733271280865,-0.062254172892161105
