Companies,tsne_clusters,tsne1,tsne2,tsne3
3M Company,1,-297.8708,-105.48966,82.635895
Activision Blizzard,2,320.47156,-223.86134,-86.747856
Accenture plc,0,-102.59817,133.69365,-367.85913
Abbott Laboratories,2,51.91937,-240.72365,291.0492
ABIOMED Inc,2,48.99058,-60.96424,107.27947
AbbVie Inc.,0,158.35439,285.99515,135.15498
Adobe Inc.,2,271.95844,-160.47319,-24.127808
Advance Auto Parts,3,-2.5804236,-469.13736,64.2787
Advanced Micro Devices Inc,3,-8.85256,-167.79701,-2.6955225
AES Corp,0,222.40546,38.90949,-224.26485
Agilent Technologies Inc,1,-41.873474,-57.788746,128.91309
AFLAC Inc,3,-210.58311,39.122364,-224.06122
Akamai Technologies Inc,2,34.506104,-342.31198,279.02103
Air Products & Chemicals Inc,1,-56.94445,-141.59392,389.18073
Alaska Air Group Inc,3,-385.1515,-100.0409,-191.42249
Alexandria Real Estate Equities,2,183.18172,-403.17996,100.04726
Alexion Pharmaceuticals,2,160.79692,-304.13467,345.539
Albemarle Corp,0,91.071884,235.80667,-200.8755
Allegion,0,108.13726,276.76608,-100.51041
Align Technology,3,-223.29967,-284.94083,176.74454
Alliant Energy Corp,1,-72.71903,157.96465,285.4141
Allstate Corp,2,294.064,-119.0901,238.25287
Alphabet Inc. (Class C),2,227.32991,-59.864758,-83.08126
Alphabet Inc. (Class A),3,-44.61801,-220.12546,139.58081
Altria Group Inc,0,-319.66458,323.7387,-17.00246
Anthem,2,259.07263,298.02313,193.0483
Aon plc,1,62.41998,178.07008,466.46198
A.O. Smith Corp,0,18.544884,466.96402,-55.32871
Apache Corporation,3,99.82651,-399.38873,-158.39044
American Electric Power,1,-68.270195,144.04874,142.02776
Ameren Corp,1,-97.12407,166.03925,205.27515
Amcor plc,1,-345.0912,-24.192308,50.708344
American Airlines Group,3,-437.73056,-50.039486,-136.37122
Amazon.com Inc.,2,219.24437,-166.51814,-86.384674
Apartment Investment & Management,0,-9.215102,184.5464,2.4765356
Apple Inc.,2,187.21788,-176.63696,-1.3592302
Applied Materials Inc.,2,356.60504,117.92414,73.44644
Aptiv PLC,3,4.286803,-208.31442,-475.00677
American International Group,3,-291.20938,-11.495308,-117.6247
American Tower Corp.,1,-6.184403,7.662943,197.54408
American Express Co,3,-61.492416,-246.3452,-168.01326
American Water Works Company Inc,1,-90.527504,84.64364,204.18596
Archer-Daniels-Midland Co,0,-225.16339,311.26535,13.472951
Arista Networks,2,219.1955,-351.48654,-8.843252
Arthur J. Gallagher & Co.,1,39.36058,65.166626,470.90958
AmerisourceBergen Corp,0,255.22559,371.43216,2.5413103
Ameriprise Financial,3,-165.25412,-13.839643,-71.02615
AMETEK Inc.,1,-254.58739,-80.61834,147.91023
Assurant,1,-337.4532,83.356476,346.7711
AT&T Inc.,0,-256.4367,238.72443,-32.24545
Atmos Energy,1,-89.22051,238.39923,214.4753
Autodesk Inc.,2,326.40085,-111.74527,52.660637
Automatic Data Processing,2,267.30005,-33.323746,213.11792
Amphenol Corp,2,194.8121,57.993683,-63.215008
Amgen Inc.,2,233.5775,132.61053,204.92288
ANSYS,2,264.333,-99.079254,125.227486
"Analog Devices, Inc.",2,338.4076,88.63557,-1.8612627
AutoZone Inc,3,43.146267,-464.5597,107.32389
AvalonBay Communities,1,-47.090256,189.76924,71.52261
Avery Dennison Corp,2,60.075596,-65.765686,-37.332096
Baker Hughes Co,3,-9.9088125,-267.68784,-243.46391
Ball Corp,1,-107.49923,-1.2933648,315.7295
